Cricetus cricetus	369.6	5.25853649654	5.91242133977
Crocidura hildegardeae	10.0	3.25809653802	2.30258509299
Crocidura jouvenetae	10.2	3.10906095886	2.32238772029
Crocidura luna	11.8	3.21084365317	2.46809953147
Crocidura olivieri	38.9	4.06731588983	3.66099425062
Crocidura poensis	17.3	3.43720781919	2.8507065015
Crocidura russula	11.3	3.10906095886	2.42480272572
Crocidura suaveolens	6.5	2.93916192207	1.8718021769
Crocidura viaria	14.7	3.09557760852	2.68784749378
Cryptomys amatus	77.3	3.88567903009	4.34769395559
Cryptomys anselli	81.9	4.13035499975	4.40549899086
Cryptomys bocagei	94.4	4.24706564924	4.54754107315
Cryptomys damarensis	125.0	4.41279829334	4.8283137373
Cryptomys darlingi	60.0	4.0741418549	4.09434456222
Cryptomys hottentotus	102.0	4.65396035016	4.62497281328
Cryptomys mechowi	267.0	5.07642303463	5.5872486584
Cryptotis parva	6.2	2.94443897917	1.82454929205
Ctenomys fulvus	275.0	5.17048399504	5.61677109767
Ctenomys maulinus	215.0	5.23164323328	5.37063802813
Ctenomys talarum	181.95	5.09319790108	5.20373192406
Cyclopes didactylus	240.0	4.74057482299	5.48063892334
Cynomys ludovicianus	1112.3	6.05443934627	7.0141852226
Cynopterus brachyotis	37.4	3.86072971104	3.62167070442
Dasycercus byrnei	118.2	4.41570316103	4.77237810497
Dasycercus cristicauda	88.8	3.83254680393	4.48638665
Dasyprocta azarae	3849.0	7.54221346319	8.25556865328
Dasyprocta leporina	2687.0	7.35147909921	7.89618060862
Dasypus novemcinctus	4180.0	6.65890923032	8.33806652552
Dasypus sabanicola	1380.0	5.73947131706	7.22983877815
Dasyurus geoffroii	1385.0	6.21460809842	7.23345541862
Dasyurus hallucatus	516.0	5.52146091786	6.24610676548
Dasyurus maculatus	3840.0	7.08590146437	8.25322764558
Dasyurus viverrinus	909.9	6.01493690329	6.81333470336
Daubentonia madagascariensis	2562.0	7.23986085274	7.84854348246
Delphinapterus leucas	625000.0	11.6447428896	13.3455069287
Dendrohyrax dorsalis	2210.0	6.62286929383	7.70074779451
Dendrolagus matschiei	6960.0	7.26318945348	8.84793475333
Desmodillus auricularis	71.9	4.47414992355	4.27527626473
Desmodus rotundus	29.4	3.28840188752	3.38099467434
Diaemus youngi	36.6	3.52636052462	3.60004824041
