contrast,path length,mass,BMR,ln mass
c390,23.700000,0.686860,-1.322843,0.057439
c391,10.800000,1.825742,-0.213003,0.097424
c392,3.800000,-12.773430,-14.517594,-0.225113
c393,3.300000,2.983188,-24.665873,0.043136
c394,6.000000,-13.432279,-21.715251,-0.383515
c395,23.600000,-1.173326,-1.152742,-0.062058
c396,13.900000,4.849441,8.368502,0.144139
c397,17.800000,-1.907061,-1.239382,-0.057647
c398,24.300000,-2.829820,-4.973727,-0.156623
c399,26.900000,-1.002976,-0.769567,-0.029206
c400,5.500000,-1.361201,-2.662496,-0.065045
c401,4.900000,10.166939,8.126483,0.294578
c402,7.600000,0.197582,-1.784235,0.072768
c403,37.100000,-2.876522,-3.595507,-0.112133
c404,10.200000,-2.553590,-2.710553,-0.104672
c405,47.200000,3.888574,2.090748,0.144811
c406,15.200000,-1.973429,-1.935540,-0.098548
c407,3.600000,-1.188406,-0.649690,-0.045885
c408,6.200000,10.623827,7.191625,0.171338
c409,22.000000,34181.495419,4375.777201,1.054895
c410,21.400000,14.894034,9.684365,0.163025
c411,25.100000,-6.279276,-1.848445,-0.068927
c412,33.700000,-5.206438,-2.277370,-0.072281
c413,52.400000,7.259389,3.856817,0.215155
c414,40.300000,0.155530,6.034548,0.048021
c415,36.800000,9.231327,-6.198176,0.021752
c416,16.800000,18.054151,2.415353,0.022987
c417,18.000000,71.312028,41.460728,0.118132
c418,5.600000,-50.074070,-29.127491,-0.086942
c419,106.000000,-42.951671,-10.695599,-0.178835
c420,11.680000,-1.550795,-1.726357,-0.174478
c421,5.780000,-3.036400,-2.121320,-0.227988
c422,6.650000,1.212581,2.161557,0.089365
c423,0.540000,32.932029,49.398043,1.324285
c424,5.200000,-5.393637,-5.267384,-0.260002
c425,6.620000,-1.936494,-2.838628,-0.094200
c426,0.590000,-2.689770,-2.799418,-0.196885
c427,8.250000,3.500219,6.105678,0.539898
c428,20.000000,-0.413734,-0.542974,-0.098530
c429,2.000000,1.131371,5.091169,0.136734
c430,8.600000,1.657484,6.596786,0.304203
c431,8.200000,0.606604,2.875427,0.120199
c432,16.500000,-1.772466,-6.481807,-0.193316
c433,10.000000,-3.415260,-6.071573,-0.228359
c434,14.600000,2.273159,5.779627,0.207705
c435,7.700000,-0.461092,5.143499,-0.039513
c436,27.600000,1.808294,5.063223,0.231537
c437,6.700000,0.434330,4.299797,0.056051
c438,8.900000,0.296909,-3.388181,0.020589
c439,68.500000,32.081362,11.220248,0.323539
c440,46.300000,-17.015092,-2.258929,-0.051370
c441,10.100000,23893.685093,3052.439513,0.585380
c442,12.600000,-17950.479912,-2215.269521,-0.089497
c443,54.600000,62.253176,15.292628,0.015503
c444,26.000000,-5314.747262,-336.437230,-0.425226
c445,74.600000,1866.625895,180.860614,0.417964
c446,44.700000,-598.059483,-28.403302,0.088481
c447,13.400000,-937.004595,-137.053996,-0.384791
c448,7.100000,-208.807276,0.541352,-0.013356
c449,7.300000,-275.542975,-53.017371,-0.077312
c450,8.900000,-1773.203224,-220.152482,-0.418093
c451,41.600000,-410.865058,-93.258616,-0.184379
c452,29.400000,6769.197575,399.010949,0.486287
c453,32.900000,-2163.719749,-111.281542,-0.119128
c454,21.400000,605.272782,101.339957,0.239564
c455,37.900000,1349.142082,82.910175,0.094433
