"","T1","T2"
"1",-0.179901467518,-0.71935607327
"2",1.71318641805,1.32409948621
"3",1.5401648895,0.899970731661
"4",-2.05773382055,-3.76547679094
"5",-5.07120163593,-4.80618626777
"6",-6.82041838314,-7.29433053689
"7",-8.17464800644,-8.28095907817
"8",-8.39923864427,-8.21389174725
"9",-7.31146237964,-8.89174854112
"10",-8.88843580105,-9.95161773453
"11",-8.62601870765,-9.25496844464
"12",-6.37383076561,-6.95580679306
"13",-6.28630799647,-7.27766227147
"14",-1.55937342548,-3.01085341305
"15",-3.49371801379,-3.96907076134
"16",-3.08588303152,-3.07598401577
"17",-5.1746471485,-3.94144469105
"18",-2.7014011002,-2.10566541296
"19",-1.2801719201,1.07720042735
"20",-2.69973339385,-1.61507669737
"21",-2.88318829229,-2.21188168774
"22",-1.34649457902,-1.27741718983
"23",-1.74695696101,-0.0645286170893
"24",-1.27826682407,-0.435453467985
"25",-2.47636009317,-1.17854323031
"26",-3.80645684996,-2.3121651092
"27",-4.34769662449,-2.13926840845
"28",-6.10148040406,-4.44476605744
"29",-7.84418439417,-6.18630641193
"30",-3.85545254537,-2.93029041866
"31",-5.17189051917,-3.97533477113
"32",-6.76267554734,-4.59141114623
"33",-5.3044761515,-3.88767414614
"34",-8.96597005472,-7.4945260532
"35",-9.0332485666,-7.94840227467
"36",-3.77361170909,-2.82743782959
"37",-2.27929003714,-1.97249365779
"38",-3.37174999262,-2.59550883782
"39",-3.12890283904,-2.57690249207
"40",-1.47068429382,-1.90194025381
"41",-4.45743089109,-4.39306737318
"42",-3.45797075962,-4.36172521715
"43",-2.60471070895,-3.80474255593
"44",-2.16308758232,-3.27668024905
"45",-5.14949671086,-4.95193482212
"46",-3.60269887418,-2.97966373228
"47",-2.93022910583,-2.6012768337
"48",-3.32703499318,-2.78655088275
"49",-2.52182783924,-1.70652075125
"50",-2.74952893365,-2.12038681009
"51",-7.07532039019,-6.48791040629
"52",-6.17381638467,-5.53549803457
"53",-7.19635468988,-6.19575673765
"54",-6.49889183128,-5.85592048945
"55",-5.80967360836,-5.13951064888
"56",-6.72409717899,-6.03551929551
"57",-8.03717226057,-8.03165184949
"58",-6.88715632745,-6.39578452089
"59",-4.66725744916,-5.56695940071
"60",-4.48888636182,-4.48724510728
"61",-5.11181124814,-4.81226836557
"62",-5.88008024265,-6.73255303361
"63",-7.29648942593,-5.89036432526
"64",-9.08689370338,-8.99947059445
"65",-5.00641550019,-5.34907210161
"66",-2.8649132498,-4.56659753915
"67",-5.2544299887,-5.52362417425
"68",-5.07903571829,-5.34860731105
"69",-5.30978510688,-3.96842010827
"70",-4.54470917808,-3.5170759183
"71",-5.22391426075,-5.49967045309
"72",-7.73468150658,-7.34067836315
"73",-6.39893446424,-4.96024484402
"74",-6.63295883728,-5.0155392211
"75",-4.45611721978,-0.913523583061
"76",-7.65710973279,-5.13699478841
"77",-5.984177555,-4.505739517
"78",-4.96960774141,-2.41066807275
"79",-5.7051269785,-6.09437846356
"80",-6.87984828323,-6.48395603081
"81",-7.41968599665,-7.46715552482
"82",-5.14466889572,-5.10404033439
"83",-6.34715118904,-6.46828987855
"84",-3.79316434911,-5.66721820356
"85",-6.08394072697,-6.03191816877
"86",-8.17141520015,-7.54401809157
"87",-8.23931654927,-6.88420474244
"88",-4.7926335417,-5.40860742912
"89",-6.66365096271,-6.40829754875
"90",-6.01409468353,-5.9075624539
"91",-9.08325144197,-8.86796281526
"92",-8.95533403804,-9.10953737492
"93",-9.24841397601,-9.17079011581
"94",-9.11517798254,-8.98382477188
"95",-9.54328283703,-8.55173814376
"96",-9.99992789108,-9.28732197445
"97",-8.02972855839,-7.34322537708
"98",-8.96997872142,-8.08988336492
"99",-7.79500698377,-7.5305228161
"100",-7.12027809044,-8.55663050026
"101",-7.63770799609,-9.1612587639
"102",-7.70865406721,-8.03934035831
"103",-7.73542938482,-8.21765478769
"104",-6.63199368601,-5.39513934339
