"","T1","T2"
"1",-2.55704516715,-2.54494265944
"2",-2.78063930371,-1.3105455241
"3",-2.12099820053,-1.62009568382
"4",-5.88940817969,-5.4863210359
"5",-5.83991061325,-5.74508358792
"6",-7.46123862839,-6.33492516134
"7",-9.62742360297,-9.01778196619
"8",-8.65759684109,-7.60043472032
"9",-8.01462415579,-6.93268289324
"10",-9.44142751873,-8.63563920463
"11",-7.73773571555,-6.93284061782
"12",-2.0048245405,-1.40034709039
"13",-3.86611465417,-3.64451294505
"14",-2.8569172411,-3.17945592495
"15",-2.89541068601,-3.55409321448
"16",-7.32227683924,-6.95830518532
"17",-2.69788067673,-2.90639365559
"18",-3.54777457969,-3.5559795811
"19",-6.94997114919,-6.31108740901
"20",-9.77652461522,-9.14911051017
"21",-10.6354328131,-9.97574570126
"22",-9.64184238617,-9.43567845174
"23",-7.72625505315,-8.50688983037
"24",-8.11035810455,-8.5039033937
"25",-5.69385544753,-6.13305967626
"26",-10.8159829593,-9.9828135839
"27",-8.67357692606,-7.67417823342
"28",-9.43006449895,-6.90520570129
"29",-10.6494167815,-8.94642270409
"30",-6.57684458903,-7.17497889495
"31",-6.36251892755,-5.54292371032
"32",-5.54239188327,-5.05132111165
"33",-7.46981230203,-7.45829172679
"34",-4.63508095801,-4.08334339388
"35",-4.50076515423,-4.35210998419
"36",-8.52963430188,-6.32600826953
"37",-7.43363839976,-6.67408549752
"38",-9.74388575017,-8.32446103854
"39",-9.56703220185,-6.7680834393
"40",-9.66076232224,-6.64339637189
"41",-7.28305318899,-4.99635509966
"42",-9.48854622693,-5.73675004117
"43",-7.58727984713,-5.90539710448
"44",-8.8600018098,-6.64693509517
"45",-11.0912356925,-8.33326012166
"46",-10.6890161995,-8.53295166896
"47",-10.6013272381,-7.37598498816
"48",-10.0351995327,-7.01135076533
"49",-11.7040908329,-8.66378323586
"50",-9.09437531633,-7.44203873086
"51",-8.59116789757,-8.06112274984
"52",-9.31229747783,-9.78591194818
"53",-8.27746691777,-9.05058198169
"54",-9.03847965512,-9.22833543208
"55",-8.52533231384,-9.74006561074
"56",-8.25365333034,-8.10116127313
"57",-10.5611373295,-10.3720936672
"58",-11.3584458102,-10.1436308525
