contrast,path length,AVG femur minus SVL,AVG tibia minus SVL,AVG met minus SVL,AVG ltoe IV minus SVL,AVG humerus minus SVL,AVG radius minus SVL,AVG lfing IV minus SVL,Foot Lam num minus SVL,Hand Lam num minus SVL,Avg ln t1 minus SVL
c48,23.409570,-0.004793,-0.005694,-0.009300,-0.015130,-0.016979,-0.012798,-0.021412,-0.085274,-0.071537,0.007769
c49,28.249353,-0.013933,0.004157,0.010294,0.014584,0.004654,0.008298,0.009652,0.072074,0.056016,-0.024702
c50,7.630236,-0.018388,-0.020447,-0.010832,-0.034578,0.008522,0.041945,-0.020134,-0.040136,-0.029906,-0.043919
c51,5.495466,-0.013196,-0.013543,-0.004769,-0.027100,-0.003841,0.006397,-0.031489,-0.013519,-0.018570,0.037943
c52,10.024135,-0.005051,0.009461,0.013689,0.003538,0.022748,0.032512,0.003038,0.007080,-0.031885,-0.008181
c53,27.125828,0.043977,0.062525,0.058863,0.047357,0.019376,0.028373,0.022757,0.066025,0.046212,0.097920
c54,22.974797,0.023074,0.037472,0.036497,0.017027,0.008602,0.017734,-0.004009,0.033641,0.014365,0.034505
c55,7.293781,0.002888,0.000906,0.003615,0.006660,-0.025353,-0.034508,-0.021461,0.059564,0.041921,0.056674
c56,17.488994,-0.017785,-0.000407,0.008187,0.010034,-0.000658,0.009031,-0.003359,0.007860,0.037451,0.012400
c57,17.964815,-0.009050,-0.006674,-0.005304,-0.003847,0.006853,-0.001574,0.004549,-0.002260,-0.015940,0.033881
c58,29.602293,0.002336,0.003491,-0.000239,-0.002168,0.012045,0.004524,0.001110,-0.032091,-0.042039,-0.003684
c59,23.942719,-0.015350,-0.021424,-0.030437,-0.038639,-0.001642,0.002876,-0.016545,0.036838,0.054343,-0.068571
c60,11.421652,0.002662,-0.000323,0.004829,0.019143,-0.001003,0.019802,0.022641,0.048381,0.024949,-0.019358
c61,8.208451,0.004589,-0.003372,-0.006106,0.027498,-0.016146,0.004179,0.014907,-0.033720,-0.037402,-0.005960
c62,30.522201,-0.011224,0.003656,0.006191,-0.002488,-0.003449,-0.008465,-0.011149,0.015182,0.012259,0.043443
c63,11.011832,-0.006988,-0.009186,-0.020866,-0.026235,-0.015595,-0.020031,-0.023798,-0.016711,-0.017526,-0.008983
c64,36.423869,0.036926,0.034042,0.032890,0.041271,0.041952,0.036809,0.041462,0.001108,0.001913,0.085613
c65,18.695796,0.009448,0.011521,0.016838,0.050608,0.021165,0.031917,0.035604,0.001361,-0.003436,0.006997
c66,21.721270,-0.019107,-0.023001,-0.023525,-0.027883,-0.013133,-0.007396,-0.024501,-0.035685,-0.024856,-0.040127
c67,27.077546,-0.008778,-0.003342,-0.007897,-0.005347,-0.002133,-0.004684,0.008535,0.001133,0.021962,-0.051531
c68,28.115406,-0.025453,-0.039029,-0.045786,-0.064437,-0.015793,-0.022539,-0.043908,-0.022064,-0.024718,-0.043451
c69,8.590358,0.021022,0.017817,0.014551,0.024469,0.013668,0.022493,0.018017,0.004966,0.011321,0.018779
c70,12.086197,0.001596,-0.008330,0.006006,0.009748,0.013898,0.036624,0.024300,0.008326,0.005950,-0.024124
c71,8.606303,-0.049570,-0.044818,-0.040020,-0.066403,-0.011672,-0.023293,-0.059677,0.035419,0.004037,-0.001804
c72,29.292829,0.011685,0.002491,0.005127,0.015026,0.021360,0.031007,0.029051,-0.030948,0.000148,-0.044402
c73,28.023394,-0.000573,-0.001411,-0.005300,0.002287,0.001406,-0.008833,-0.004416,0.011378,0.040811,-0.003731
c74,14.683657,-0.005557,-0.001005,0.006642,0.024175,0.020069,0.018537,0.024382,-0.007925,-0.000548,0.021023
c75,23.669459,0.014746,0.017692,0.023659,0.021599,0.015143,0.024671,0.027808,0.019707,0.026077,0.005979
c76,23.260191,-0.002947,0.005882,0.010042,0.009261,-0.004062,-0.004192,-0.003664,0.030203,0.027555,0.023242
c77,16.115863,-0.061342,-0.072674,-0.068512,-0.050828,0.002082,-0.002530,-0.010020,-0.012809,0.009530,-0.119213
c78,65.643319,-0.002826,0.000909,0.005808,-0.002999,-0.002414,-0.003125,-0.018429,0.021429,0.019555,0.017314
c79,15.041674,-0.052442,-0.052535,-0.059283,-0.053079,-0.043652,-0.064663,-0.056699,-0.009984,-0.010127,-0.025638
c80,7.917943,0.029289,0.025059,0.029939,0.044782,0.019353,0.020678,0.031650,-0.059831,-0.075392,0.031944
c81,2.245539,0.009640,0.021828,0.020482,0.023761,0.027522,0.027595,0.026988,-0.018803,-0.012967,-0.020648
c82,52.472537,0.022059,0.020624,0.009437,-0.007160,0.022842,0.035632,0.003592,0.057628,0.070277,0.000191
c83,2.140618,0.012593,-0.024829,-0.037470,-0.024960,0.022868,-0.012944,0.029220,-0.040905,-0.023246,0.016453
c84,4.783669,-0.024382,-0.011544,-0.007612,0.012210,-0.010938,-0.003688,-0.005450,-0.003523,-0.013664,-0.006221
c85,5.776153,0.019206,0.004760,0.006396,0.006163,-0.006665,0.001435,-0.003410,0.029065,0.024853,0.034650
c86,6.141492,0.009311,0.012146,0.017954,0.021492,-0.000292,0.011057,0.006579,0.045164,0.011034,0.008007
c87,15.092709,-0.002347,-0.003173,-0.010175,-0.011694,-0.000178,-0.025323,-0.016173,0.002175,-0.001644,-0.007658
c88,30.864652,0.011201,0.005565,0.007469,0.008827,0.004286,0.021936,0.016050,-0.007652,-0.009624,-0.010029
c89,41.349873,0.029342,0.019959,0.019582,0.021315,0.017846,0.028463,0.030191,-0.006745,0.010268,-0.007243
c90,33.426890,0.041904,0.078680,0.073021,0.050287,0.010483,0.008995,0.017702,0.047902,0.030891,0.109815
c91,17.835427,0.002245,-0.005736,-0.006121,-0.012825,0.001063,0.006200,-0.007557,-0.007646,0.006739,-0.039222
c92,22.688289,-0.005442,-0.007288,-0.004972,-0.003121,0.001628,0.012228,-0.003707,0.020047,0.010653,-0.037192
c93,37.159267,-0.005167,-0.006784,-0.006847,-0.001741,-0.003209,-0.001967,0.004668,0.011330,0.026034,-0.021764
c94,8.659891,0.028067,0.024860,0.035541,0.019619,-0.013056,-0.000359,0.005599,0.008654,-0.006581,0.017201
c95,34.721819,-0.006300,-0.007356,-0.011873,-0.013178,0.014906,0.006903,0.003589,-0.066813,-0.055345,-0.001744
c96,14.449741,0.024500,0.028051,0.020875,0.016619,0.010087,0.017100,0.019414,-0.029813,-0.026255,0.012483
c97,50.784081,0.045733,0.068854,0.075795,0.070379,0.026472,0.046764,0.055671,-0.025699,-0.030002,0.094213
c98,7.487539,0.016621,0.031622,0.030936,0.025613,0.019965,0.030049,0.023004,0.004254,0.005753,0.019062
