contrast,path length,AVG femur minus SVL,AVG tibia minus SVL,AVG met minus SVL,AVG ltoe IV minus SVL,AVG humerus minus SVL,AVG radius minus SVL,AVG lfing IV minus SVL,Foot Lam num minus SVL,Hand Lam num minus SVL,Avg ln t1 minus SVL
c0,13.088872962,0.0008888449719263846,0.0007099580222101565,0.010591569505120866,0.016434160345536117,0.0004829312182886851,0.0006490194230987376,0.006990454779611417,-0.015306662342834277,0.01629132763491001,-0.02854061156510424
c1,17.452326380000002,0.006572607953203585,3.684731025608429e-05,0.006882523433184439,0.012939027083680067,0.006589318289515303,-0.0007416390918395596,0.01172074158786516,-0.001129962397907097,0.0018808585404924512,-0.00989511013501277
c2,46.77078872,-0.0014110366943308453,-0.0030904559774659534,0.005324183588775735,0.009701203837831362,-0.002920480070276,-0.009327251634812534,0.005890686863759879,0.005474436616588359,-0.006954171985649677,-0.015691755946601126
c3,10.974365242,-0.012848836416492171,-0.02010510939371027,-0.00697071181821127,0.02266360268701225,-0.025946883313257244,-0.021053454864902683,-0.0030476965565542314,-0.018483771197734405,-0.025844879784778278,0.03480877767261493
c4,20.2748578,-0.00250169975842639,-0.004496352219180206,0.0011315719463369568,0.003492590686743129,-0.011781746426156859,-0.012890724574091841,-0.0029031940332317164,0.010808484890591313,-0.009998046918688223,0.017756314311904966
c5,19.031620052,0.028431463568259513,0.024250539841663296,0.013210576557560765,0.010189622925802685,0.012515683956549254,0.03690948202242282,0.027390699047694575,-0.02526109041031514,-0.019390686114810134,-0.031252002018836066
c6,24.67824189,-0.029594384909097982,-0.0256799737265833,-0.011620583820585511,-0.0004639855727679573,-0.01502679307597694,-0.028277717963695884,-0.012541025862720911,0.006735202582392389,5.096626772532321e-05,0.02214174069250878
c7,11.886595242,-0.0027692946265285836,0.004510769556010118,0.001911836906872506,-0.01565439711103569,0.0029298802147964564,0.01026595545552111,-0.021989516986304226,0.0012328283087816414,0.015982883031453725,-0.006151068458684016
c8,14.995569534000001,-0.007412674243046861,-0.0054832325063275894,-0.009217880220846367,0.0005088273638652515,0.010167868473867182,-0.0018013752725106692,0.0011240356843079079,-0.022603417634796317,0.003075002269055351,0.010461653784986152
c9,14.685010761000001,-0.0026738115116614826,-0.011979118569103022,0.0006690473626361019,0.0067493217471234854,-0.008770866456971995,-0.01018693304043708,0.006315353498370141,-0.007708625979550978,-0.019804546100748367,0.019458895341239964
c10,20.721463856,-0.007738258420961936,-0.00923540807973195,-0.005562602027573347,0.0016950617123765745,-0.009713759487006738,-0.017369691380611164,-0.008448133211670709,-0.005532457065782744,-0.007491232425636022,0.03522519026008382
c11,15.374393471000001,0.016587423675793463,0.01916811143170374,0.014216669933425616,0.008512723077486142,0.009535002241483447,0.017748766245844125,0.013165587634446618,-0.03421364705468264,-0.01910641789496973,-0.008006499789950074
c12,20.0033581,0.006252734892094505,-0.0058130848095810485,-0.016797236163828826,-0.018210330386339204,0.000853317447496298,-0.008335515950778643,-0.017837959953672343,-0.14675848070955355,-0.14701574042353469,0.03924442373477406
c13,11.9703989311,-0.007895178248274076,-0.011532215513462939,0.0013927777692618124,0.010047831882743934,0.0009236610216223378,-0.007759165581256521,0.0065916596413360985,-0.025308265726009818,-0.06239045163591307,0.0064339754171864015
c14,32.76703038,0.031006621327640305,0.045096631310384466,0.04520548757495383,0.050777571080958823,0.023117079953068286,0.02445814008084311,0.039346444697044326,0.021012783275156943,0.012653534243259247,0.05568799827084054
c15,47.13710622,-0.007926319026900322,0.004634603096650513,-0.00575757289179983,-0.02150857507376397,-0.000725666515125745,0.0015929855250390293,-0.02328569517980308,0.02354044830744603,0.02403703050730598,-0.012309174830689313
c16,10.569267636,-0.03649722738582605,-0.0409918597538208,-0.04563149483264873,-0.05199378987340587,-0.011916375364139484,-0.02419235944551309,-0.04411968074135781,0.036905537691012104,0.04979219733114208,-0.03369782358478164
c17,21.548674564,0.00838462084902258,0.016545656206766794,0.01717303442265594,0.0036549406674189103,0.006235089899098398,0.010232876188003868,9.585074295090223e-05,0.015860306586333413,0.013160681655236723,-0.014609343093094425
c18,21.35202716,0.01632286244439689,0.011137658709602608,0.015725484102846576,0.028641351970018575,0.01134722603169356,0.0035180771129581494,0.009251240745324612,-0.011376805379291257,-0.017865567355141023,0.02486319404852894
c19,32.67560654,0.02263107228294268,0.019511317065043658,0.016207796176727598,0.010042493202068407,0.010083825835466286,0.01610368436254175,0.0031398508815679163,0.005907114492434947,-0.00284954943363372,0.0019922860064568487
c20,38.64660126,0.03928559314134289,0.03129747633358661,0.02437720437430474,0.02427160519230722,0.029654322389182333,0.037382607801999174,0.03765911396266363,-0.06437818664372118,-0.03255641382675981,-0.03644037037449307
c21,10.143806344,0.0048194424320943605,-0.009154617012342806,-0.006121857049049638,-0.004078551364645245,-0.006736530115103477,-0.016103848425216588,-0.006242098584772559,0.05011944911337739,0.06338747998620685,0.026927451520674033
c22,39.5288192,0.011831852465784826,-0.0008465094718748906,0.004203813559318239,-0.010315909630681309,-0.009529517271199732,-0.002634227882288792,-0.011446674011138965,0.010064577353673849,0.005188664536339794,0.03744893410583185
c23,6.173123585,-0.005890935320376149,-0.007961058665990884,-0.004192977231862067,0.010702808493987694,-0.016401378397042445,-0.020359760963302987,-0.010769755126603199,0.02005326679158857,-0.0074862210634266905,0.04445622265782361
c24,21.471225284,-0.01645421126777263,-0.01200535265937071,-0.015882957699194778,-0.0049303898322519725,0.01119130381247829,0.007394282444089848,0.010569599266919407,0.0356004396761339,0.053687510696560296,-0.05009995956603753
c25,17.049746194,-0.016166729569149763,-0.009554397996056865,-0.0093533979718445,-0.01896087562309591,-0.0003268867165018335,-0.01417856247743647,-0.010606435585012248,-0.012480791882685503,-0.013970861289945584,-0.003230232427920701
c26,19.049361563999998,0.008750487897326374,0.0016168838564053765,0.005029441545310934,0.008368739146825514,0.005190089363137813,-0.0005522067900713176,0.007895750114804628,0.013516353518092614,0.020058581543850432,-0.001866469351769859
c27,16.459866786,0.014900890323845048,0.010714465403097184,0.006606704760881722,0.0001307393148513202,0.0074863230848371,0.007745262200403934,0.002831024657689171,0.012333318672787552,0.009150585727615634,0.021876715891717136
c28,24.959240743000002,-0.004762080034460818,-0.011390203291485346,-0.010420325932302028,-0.015409985967998347,-0.015465491586745275,-0.005556893865676366,-0.009733018885842175,0.0016119656722827476,-0.003730613749309586,0.005405104778241902
c29,23.198007656,-0.0064510474201954,-0.003852890681233821,0.014524177456456334,0.014219045762781133,-0.018311882242401087,-0.026571403346508326,-0.008554203983715408,-0.0010725745988115804,-0.0201605814032616,0.055718947871887047
c30,13.611690902000001,0.006894453238044371,0.0015219491759312382,0.005275982583995312,0.004372613168455774,-0.0010974000902897638,-0.0025794818841328483,0.0004603951535431615,-0.02852355858004574,-0.03127048472183366,-0.01177725242318108
c31,26.81076878,0.007505596430843114,0.00019812060819251857,-0.004776407323777466,-0.019864216402358047,0.006029217427884571,0.01121230029059439,-0.006970217459240168,0.016312738251049678,0.018477146185186376,-0.005017793637585136
c32,35.34210219,0.007410300125440916,0.008931703919634552,0.004013499213548096,-0.004220125918520582,-0.0030183156534756153,0.004451804072667829,-0.00048124333772153906,0.012697513741223581,0.026359502993594484,-0.004996299973466116
