"","T1","T2"
"1",1.26513571131,1.33664960115
"2",1.65871734167,1.70978101811
"3",-0.948496266687,-1.29544012806
"4",-2.66273213007,-4.66096570673
"5",2.60084643768,-0.924892315444
"6",0.245421353587,0.107776677257
"7",1.20041604395,0.664833628014
"8",1.34980240536,2.13646540452
"9",-0.724500606737,-2.53603040423
"10",1.79954070001,0.755429105999
"11",0.490342714921,1.64012247453
"12",-5.43185960264,-6.08844154806
"13",-4.0269251471,-3.30921164748
"14",-4.47666803766,-4.97809971819
"15",-3.21165705338,-3.98304713942
"16",-4.36845583347,-5.39981604276
"17",-5.64543539892,-6.45185780009
"18",-5.87173490214,-7.38803379233
"19",-2.5238529767,-3.81624416789
"20",-1.88762795514,-3.30514494905
"21",-0.832797974325,-1.5751232525
"22",-2.49494789386,-3.93946415425
"23",-3.82028479293,-5.60438739003
"24",-2.81128050991,-3.07906637686
"25",-5.29998337185,-6.67395836048
"26",-12.1599225847,-13.2872355164
"27",-12.6547506555,-13.7820635871
"28",-9.24935285834,-9.00720610095
"29",-7.22712697077,-7.70873980297
"30",-10.7457458466,-12.3782817834
"31",-10.9005115058,-11.8995098345
"32",-9.83755255153,-10.7041042891
"33",-7.73281996916,-9.33776811926
"34",-9.81827637731,-11.4357773777
"35",-9.35957006982,-10.9770710702
"36",-11.4407961248,-12.4318942982
"37",-12.4563287042,-12.4777508609
"38",-14.1747537857,-15.4745757719
"39",-11.9196637849,-12.8121535484
"40",-13.1615600108,-14.5355349994
"41",-13.2921183089,-14.6660932975
"42",-13.384154809,-15.3957903926
"43",-14.0524894306,-15.0434442623
"44",-14.1275039738,-14.9515264375
"45",-11.3223833502,-14.3512357354
"46",-9.99665029144,-13.3306556547
"47",-11.7412684912,-15.0395090547
"48",-11.4613702316,-14.7596107951
"49",-9.00494414119,-12.195923834
"50",-9.305549125,-10.9193046403
"51",-8.76187957248,-9.97309157962
"52",-4.30369089331,-7.50271555003
"53",-4.38248892878,-7.82361171586
"54",-6.50048656284,-9.84857528283
"55",-6.4357434157,-9.59061735232
"56",-5.95635035414,-9.11122429077
"57",-7.31967961464,-8.93481142969
"58",-8.9272721776,-11.2953086579
"59",-6.56985448759,-10.036515779
"60",-9.69326807352,-11.3992164178
"61",-7.0361373681,-8.21620129473
"62",-8.43384481315,-9.3890390676
"63",-8.46265271935,-8.7591533277
"64",-8.27128891931,-8.56778952766
"65",-7.01237901584,-6.79700094971
"66",-5.37135345884,-7.96691114299
"67",-6.30813902887,-8.52242878947
