"","T1","T2"
"1",-2.22644638049,-1.05553405857
"2",-0.235377546013,0.504751827132
"3",-2.5367208342,-1.07344950218
"4",-3.70262687171,-6.36065306905
"5",-4.77392483225,-6.68574835988
"6",-4.24859304661,-6.22608394055
"7",-5.55264170498,-8.12171525035
"8",-4.94404900072,-6.78691358565
"9",-5.77929031839,-7.8048155229
"10",-2.9033365429,-6.31571516337
"11",-4.49870129806,-8.3847602695
"12",-11.5015993082,-12.3488341199
"13",-10.9484670196,-12.2811448528
"14",-10.9542145128,-13.3739919373
"15",-8.87790542356,-11.5618985718
"16",-10.1674987534,-11.2752020632
"17",-7.22748049233,-10.1264707172
"18",-5.85056457888,-8.78761345052
"19",-2.91222292235,-4.77783359608
"20",-1.26401599931,-3.94708411712
"21",-3.61336176664,-6.19619446807
"22",-3.24964328284,-6.04421807756
"23",-4.66545618309,-7.1048797772
"24",-3.40603052498,-4.78485917357
"25",-3.43678800735,-5.56282672447
"26",-5.18657724518,-8.30009646171
"27",-4.02199060746,-7.28818250628
"28",-6.50750626905,-9.58434596983
"29",-4.04060996386,-7.37057178572
"30",-5.37381745305,-9.02295647082
"31",-7.44850028599,-12.0055889067
"32",-7.27509464595,-12.6010186643
"33",-7.34939103653,-11.6514994239
"34",-8.39658305174,-13.4018374395
"35",-9.68744899333,-14.5792402617
"36",-7.33102081376,-11.2206458003
"37",-10.1767189945,-11.8354458386
"38",-10.7591848831,-12.4838912941
"39",-11.1868919962,-12.2049782337
"40",-9.82365098617,-11.1325396755
"41",-9.01669703157,-12.0445978593
"42",-10.001779584,-13.1293621985
"43",-10.489625422,-14.3249939385
"44",-11.1843876635,-14.9227133573
"45",-13.1910725071,-15.5096017445
"46",-12.9867616543,-14.7760262885
"47",-12.8687276048,-14.8508274823
"48",-16.2003376523,-18.0987753673
"49",-11.6958900165,-13.7203614908
"50",-13.8453815214,-14.9033590629
"51",-8.09841411512,-12.6845545771
"52",-7.45117378695,-11.4095568258
"53",-8.15940074401,-11.778698488
"54",-6.3982730678,-10.5489102753
"55",-9.77334644873,-12.4773990937
"56",-10.4149755693,-13.5714751738
"57",-8.16952844761,-12.2917258502
"58",-7.69899061454,-13.8588410466
"59",-9.36415933891,-12.6011449698
"60",-3.89670439473,-8.43409145084
"61",-4.73576447761,-9.26923519094
"62",-5.08598039421,-8.28514907765
"63",-6.14930762206,-9.39463951377
"64",-6.10898814568,-8.96847066105
"65",-6.35704000416,-9.87081278287
"66",-4.96737063234,-9.0747224901
"67",-10.3680662518,-12.2347340948
"68",-8.00965045264,-9.89543207938
"69",-7.33832641707,-10.5131485819
"70",-5.41487441051,-8.45903948518
"71",-8.27847507717,-13.5288495523
"72",-8.64779840655,-12.1912695733
"73",-9.00407903709,-12.6460313272
"74",-6.96975400947,-9.97032037151
"75",-10.2868111363,-13.8081663555
"76",-9.42432982016,-12.5486361938
"77",-11.1318298257,-15.3905671004
"78",-8.09797874872,-11.6987484246
"79",-10.3099619741,-14.7079128836
"80",-9.6068141629,-14.5297835851
"81",-10.4703635835,-14.6210809644
"82",-10.4640682334,-15.1795917141
"83",-11.3234262518,-15.0504947211
"84",-10.7695780215,-14.13655914
"85",-7.94657370069,-10.4793543433
"86",-8.43576100382,-9.75751711071
"87",-4.7721933697,-6.63305315269
"88",-7.5642961528,-9.41464129339
"89",-8.05777591241,-10.4506558278
"90",-4.75917659435,-6.98390675042
"91",-8.67525792295,-10.54644423
"92",-8.61542772136,-9.64348050687
"93",-9.50165221398,-10.2846280505
"94",-3.33762732489,-5.03029969927
"95",-5.49342287242,-7.89954635424
"96",-4.78891224014,-6.94080435406
"97",-7.25008637788,-8.85105523664
"98",-4.87380135557,-6.48591715081
"99",-6.51408975684,-6.80990315769
"100",-7.89792407369,-9.0806528465
"101",-6.30969171593,-7.48448440417
"102",-6.51563340625,-11.3653566283
"103",-6.6220403581,-11.5688964739
"104",-9.74306531772,-13.5050087649
"105",-7.68693454436,-12.052578016
"106",-10.5069300416,-12.8132583713
"107",-10.5578485468,-12.886273852
"108",-7.9452961216,-10.9274837179
"109",-9.15085477637,-12.0278672228
"110",-6.83087506163,-9.58120133759
"111",-9.9946996049,-13.9396185185
"112",-8.52116283854,-14.0004745556
"113",-9.56154173182,-13.6397563099
"114",-10.5871624372,-15.6181379882
"115",-6.97994678081,-12.9385902877
"116",-8.58990128745,-13.9782444536
"117",-8.37622301077,-12.3320663193
"118",-6.81591515921,-10.5201581307
"119",-7.42114461004,-10.6879623453
"120",-6.41437912727,-10.3455497145
"121",-7.39376813528,-10.3545766072
"122",-8.83832817681,-11.6633455651
"123",-10.4766104879,-10.8822685254
"124",-8.53996503222,-11.1767721327
"125",-10.3523241332,-12.6638594879
"126",-8.28959302195,-10.3425947536
"127",-6.34776820677,-8.79722726046
"128",-7.80133788595,-13.1040327226
"129",-10.3336060822,-15.4388093998
"130",-4.3416167699,-10.700131621
"131",-5.17914992199,-11.3499198037
"132",-8.74408661694,-14.8972143437
"133",-7.83367193788,-15.6012698353
"134",-8.65069864367,-17.284649937
"135",-7.68496100694,-16.8381149011
"136",-6.7520268408,-13.8322395663
"137",-5.33244300913,-12.58902143
"138",-9.18204984795,-14.74762525
"139",-6.85330165345,-12.7168931738
"140",-9.44205219762,-14.5541621461
"141",-9.37311789141,-13.6951512622
"142",-8.68232436122,-16.1642152435
"143",-10.4217913904,-17.9386456968
"144",-8.75833419178,-14.8728575618
"145",-3.99241760955,-8.63770620979
"146",-6.3320606182,-9.87638004465
"147",-4.75078630826,-8.83288447569
"148",-5.79488134216,-11.5211101286
"149",-2.60537612854,-6.98119741643
"150",-6.02725349989,-11.3409591203
"151",-4.81192569195,-9.51520605682
"152",-3.3244285469,-7.01729095263
"153",-5.35597276125,-8.62112352784
"154",-4.71359425762,-8.85586840932
"155",-3.64328708561,-7.78937571058
"156",-1.95357342862,-5.52656632752
"157",-4.32304380802,-7.82801625347
"158",-3.81719550662,-7.64710084396
"159",-5.15359157589,-9.50486362741
"160",-4.63900663659,-8.2780973323
"161",-6.32871017672,-8.91221057713
"162",-3.59375136282,-7.16163633318
"163",-4.50031617365,-7.92170564281
"164",-4.56884415669,-8.54168136629
"165",-5.56292007436,-10.4517535603
"166",-2.77119048631,-6.23116642612
"167",-3.60674808116,-6.40333673342
"168",-3.74846050568,-6.59704448927
"169",-8.85613894979,-9.47479203523
"170",-6.86383985679,-8.38175835474
"171",-7.0668590381,-9.05510379179
"172",-7.42275915783,-8.93776803762
"173",-8.62558126235,-10.1722175882
"174",-8.76392693315,-9.58401108608
"175",-7.16068676666,-10.0760434683
"176",-4.43802599335,-6.37251567021
"177",-6.4143304945,-8.97998584577
"178",-3.97541120213,-5.84756437353
"179",-4.96546589713,-7.36307184938
"180",-2.78668929387,-4.42478905493
"181",-4.16415401009,-5.79544461876
"182",-6.60081412906,-7.3501094379
"183",-4.98538500852,-6.46513597095
"184",-6.71800587664,-6.860676478
"185",-6.42306626209,-7.63792635283
"186",-4.74599630027,-7.29785746474
"187",-3.9715401315,-6.43769330513
"188",-7.28882822897,-7.46514230531
