"","T1","T2"
"1",-4.81093542219,-4.9601286577
"2",-5.70578848195,-3.71290250315
"3",-2.78342744669,-2.2915386584
"4",-3.77554123536,-3.54512186616
"5",-7.21192351275,-6.44873420336
"6",-5.88628977731,-5.72474841216
"7",-7.35866143359,-7.22352010906
"8",-6.11263574674,-5.7101107446
"9",-6.06766025821,-5.2063588318
"10",-5.87107496153,-5.55546474986
"11",-5.77529197847,-5.14464110306
"12",-6.0514660444,-5.16756583973
"13",-5.40923146743,-4.4653343605
"14",-7.97287493613,-8.56038185367
"15",-7.92621213612,-6.97559185769
"16",-6.57947601056,-7.78444820182
"17",-6.27694721642,-6.31198856506
"18",-7.39479821542,-7.10293865354
"19",-6.78213750025,-5.20960001272
"20",-5.14954407711,-2.46521765877
"21",-6.58195320794,-3.86639734963
"22",-7.32458815405,-4.63973302302
"23",-4.63871951101,-4.26976695357
"24",-5.60232649199,-5.31531030601
"25",-6.11543441733,-5.62361215255
"26",-6.64953476508,-1.88582955879
"27",-4.16938299475,-0.0520708173404
"28",-7.74817159556,-3.54981499012
"29",-5.9351489449,-2.03164272254
"30",-4.22392963516,-1.67015534068
"31",-5.77389961763,-3.02127898476
"32",-7.32712342779,-5.35794195409
"33",-8.12985107344,-6.03076481618
"34",-7.95223735792,-6.11432667285
"35",-8.67846338947,-6.79018936194
"36",-3.71913423978,-2.77286722984
"37",-4.0748995394,-4.31056002306
"38",-2.71087019245,-3.16346476957
"39",-4.47992914617,-5.39875988139
"40",-1.84509538928,-3.21962080704
"41",-4.03761392289,-4.92271904585
"42",-4.74367124371,-4.07994677116
"43",-2.95243238344,-2.10446004553
"44",-3.18550847465,-2.73989384033
"45",-3.48481107232,-1.97917798576
"46",-0.735604538201,-1.44359494335
"47",-3.73596678219,-2.39427239482
"48",-1.85268684926,-1.10532063229
"49",-0.288814821515,1.76779569016
"50",-1.87446779502,-0.406554240102
"51",-5.52082630726,-4.95953745431
"52",-5.35537478849,-4.51675588031
"53",-6.968348217,-5.5454818978
"54",-5.81480468587,-5.3798191606
"55",-5.40309655047,-5.56672218551
"56",-5.45013317969,-5.68743478305
"57",-7.22930844531,-5.07027861572
"58",-5.82807731766,-3.68646724068
"59",-5.79136282645,-5.66472532909
"60",-6.48556079404,-6.87474679556
"61",-6.78067057042,-7.50658020232
"62",-6.73730952244,-6.40207251301
"63",-4.85874665092,-5.30223173728
"64",-5.53748255877,-5.40743035291
"65",-6.23110085707,-5.95713541474
"66",-3.82094639154,-3.31079699604
"67",-7.22612097966,-8.45391524123
"68",-6.05746930229,-7.96958471611
"69",-5.43707123796,-6.19998551882
"70",-5.89496708567,-5.81054750348
"71",-4.1515465276,-7.45879833662
"72",-2.48143278584,-6.13622529589
"73",-2.48215621963,-4.97222042994
"74",-2.85526632948,-5.52441186179
"75",-3.55048952187,-9.43936783303
"76",-1.43183158374,-7.39723124517
"77",-2.57694979734,-6.67923684734
"78",-3.95606774172,-8.31376704357
"79",-9.21809654589,-10.4911148014
"80",-9.36389188398,-9.65138384161
"81",-5.22406260551,-7.98070923798
"82",-2.84964803611,-5.82281803318
"83",-4.2757395063,-7.57215487984
"84",-4.13564128032,-7.24722755532
"85",-3.71478397702,-6.56389374235
"86",-4.8177988824,-6.43194681838
"87",-6.54320270468,-8.79679227614
"88",-7.16907092693,-9.49787504045
"89",-5.45203101605,-8.67593285962
"90",-4.29774389933,-7.40157203269
"91",-6.07842978298,-7.7268519933
"92",-7.62445241208,-9.9468893172
"93",-8.16035684059,-10.3293184049
"94",-3.6245604715,-4.68317561654
"95",-7.71672379156,-8.5647765253
"96",-8.20735589958,-10.1344430444
"97",-5.25430335145,-9.5742244927
"98",-5.12557605839,-8.72077828406
"99",-8.15794549143,-10.9023433315
