"","T1","T2"
"1",1.92382093072,2.15150479854
"2",2.72436577606,3.08780921043
"3",-0.717972359918,-0.0999352331535
"4",-8.59737566768,-6.53175266456
"5",-5.78813799876,-3.9276035516
"6",-3.54581582033,-2.17893349145
"7",-6.97748084068,-5.22270908614
"8",-5.61465090904,-4.01094962567
"9",-6.76976392626,-4.47442044296
"10",-6.04178169286,-4.76154074273
"11",-5.98314290787,-5.11527028087
"12",-5.43378457561,-1.19500016294
"13",-6.87083108575,-3.27099709319
"14",-8.14764083646,-3.93177998396
"15",-5.34420040037,-1.68737782666
"16",-7.21332630685,-4.52596661422
"17",-5.50975876911,-3.29620904105
"18",-5.85545586965,-4.32767131819
"19",-7.26879313731,-7.40894898142
"20",-6.84450274727,-6.40185012591
"21",-9.04069301378,-8.59313113992
"22",-6.13428794066,-6.3245232578
"23",-7.35654508066,-6.80164783701
"24",-7.56623989256,-6.60745123596
"25",-8.3609743729,-7.40381549581
"26",-10.2448501783,-6.57877718898
"27",-9.35578215193,-5.73529534347
"28",-8.54634884998,-4.55872866586
"29",-9.90896272208,-6.77547858501
"30",-10.7153660154,-7.86797604086
"31",-9.67051046453,-7.78594955045
"32",-10.0169713975,-9.76065192688
"33",-10.8795029375,-9.27127337973
"34",-10.8477462182,-10.3625185566
"35",-10.2194805884,-9.45366102025
"36",-11.969247801,-9.00927416811
"37",-11.2732576738,-8.45623649543
"38",-11.595683894,-9.63781554306
"39",-10.0156388764,-8.32244814273
"40",-10.7832384076,-8.95752206133
"41",-9.75012136342,-8.29456903411
"42",-10.0854972562,-8.87910809585
"43",-11.105899774,-9.41448818975
"44",-9.6175543927,-7.95870818543
"45",-11.1701975647,-10.1880600525
"46",-9.01073148996,-8.93720777489
"47",-6.94702754067,-6.99176323006
"48",-8.40222319088,-7.96347419159
"49",-10.0869441889,-8.85914477915
"50",-10.4993258978,-10.0790006629
"51",-8.21911360422,-6.25821687316
"52",-8.74587373652,-7.239953603
"53",-7.57965789839,-5.56155449193
"54",-8.74640634424,-6.79065080444
"55",-9.75034993067,-8.83747136605
"56",-9.293994188,-8.13268924615
"57",-9.75796285643,-9.08729049422
"58",-7.9271108089,-5.48525885397
"59",-6.96775743821,-7.28934053831
"60",-5.91829121037,-5.25664746627
"61",-7.17184582252,-7.06614741496
"62",-7.56174507699,-8.51893024204
"63",-8.34038445157,-9.02996160721
"64",-3.75756353475,-5.69533992837
"65",-6.59658372713,-7.71027201292
"66",-7.22774647305,-8.4828959135
"67",-10.0056750189,-9.16988151921
"68",-10.0900421538,-9.0921961695
"69",-7.83269319564,-7.2151106285
"70",-10.8928163391,-9.35090084983
"71",-6.91664964083,-5.24652760835
"72",-7.55883291635,-5.30116869928
"73",-7.82366523303,-6.79075575178
"74",-8.2290847056,-8.0075073965
"75",-9.07788572558,-6.79741153752
"76",-9.39401829004,-7.35940556056
"77",-10.1234524105,-7.33526706836
"78",-9.82802342258,-5.86108396826
"79",-9.66817973226,-8.88587064047
"80",-10.9143257866,-9.53854873127
"81",-11.5896922622,-9.36194391179
"82",-10.2240736968,-8.44960170219
"83",-8.57285458712,-6.76319336165
"84",-11.7164418969,-8.22972122701
"85",-7.82378060473,-6.5532280386
"86",-9.36356227485,-8.97689658457
"87",-10.9109344851,-6.81013109389
"88",-8.93441864613,-7.81585287872
"89",-7.67366643512,-7.16259848924
"90",-10.6237142238,-10.0624279
"91",-10.0398544713,-8.21341749331
"92",-11.3309176679,-8.87878647727
"93",-11.7500361493,-9.94553083822
"94",-10.6661414745,-10.4000354201
"95",-10.7332677921,-11.8092215896
"96",-10.6170121943,-10.8022576999
"97",-10.9033696247,-11.9923322458
"98",-10.60892567,-11.9511923868
"99",-10.9261727345,-12.6264032299
"100",-11.1856163366,-12.2700162112
"101",-11.3415458503,-12.6249235832
"102",-9.24338560185,-12.5529333871
"103",-9.15460480173,-12.4262307266
"104",-10.3468129075,-14.0466147617
"105",-10.9745893477,-13.7324481672
"106",-6.21111824498,-9.24493049335
"107",-5.83559474036,-8.24934471618
"108",-6.01366097867,-8.9718783638
"109",-5.49579666102,-8.38415098941
"110",-6.99297682449,-9.70818700357
"111",-8.62511569584,-11.6743612263
"112",-6.12666898327,-9.75413688789
"113",-5.06944355858,-7.49453769148
"114",-6.61025095367,-9.19691505115
"115",-6.75428321501,-8.16009062313
"116",-7.40058846521,-9.79231012925
"117",-8.69713169961,-11.6592987789
"118",-8.91504302682,-11.4995753555
"119",-7.45462128017,-9.78061948993
"120",-7.20983123142,-10.3111338638
"121",-6.18598852835,-8.27792439768
"122",-8.98821735983,-12.3558661665
"123",-8.32248139799,-10.676968854
"124",-11.0628303863,-11.0106893158
"125",-6.98070695151,-8.81336546696
"126",-8.031226039,-10.3712643235
"127",-10.3247776578,-11.8879104738
"128",-6.8581004996,-8.72786463369
"129",-5.69678984748,-8.72397317141
"130",-8.06865767013,-10.5637302781
"131",-7.87217502502,-9.9616019632
"132",-5.79047048798,-9.06580374377
"133",-6.61834898466,-12.5681936498
"134",-7.25106449526,-12.2869323423
"135",-6.39785113585,-11.5455105409
"136",-5.12447854045,-9.52605650537
"137",-6.12650073725,-10.9890049262
"138",-6.62552195792,-11.6408893255
"139",-5.57627834064,-11.1216941693
"140",-7.99932322856,-13.4942934364
"141",-6.2887098924,-11.6155250057
"142",-9.15944524788,-14.5464503038
"143",-8.80618582997,-15.1754457863
"144",-5.96766302443,-10.354932703
"145",-10.6314231071,-9.57680975735
"146",-12.358945324,-12.228577884
"147",-12.9305672282,-12.5038592097
"148",-11.7153161516,-11.5967597632
"149",-10.3485967152,-8.97640259757
"150",-10.3605673552,-10.0310025256
"151",-10.5685193468,-9.59089386852
"152",-12.8793235197,-10.4722804272
"153",-14.0871441935,-11.385122327
"154",-11.1398847587,-12.1977932552
"155",-12.0386436091,-12.3200221548
"156",-14.0282608878,-14.6948160148
"157",-15.651279238,-15.3259110831
"158",-12.7563339415,-13.9027983926
"159",-11.9146157027,-12.6377030088
"160",-12.600503933,-13.5425868965
"161",-12.6651081653,-13.3298182361
"162",-11.9534527879,-11.6149955781
"163",-13.7319339381,-13.7552719337
"164",-13.4718077067,-12.4441673961
"165",-10.9819041997,-10.6143240392
"166",-11.750140758,-10.9385138071
"167",-11.3358079354,-10.7510969902
"168",-11.5045566178,-11.352673192
"169",-9.79352212556,-11.4217481271
"170",-9.36290852667,-10.9899483176
"171",-12.270641138,-13.2379036481
"172",-8.79762512558,-9.85560151154
"173",-12.7589886212,-13.7624170644
"174",-11.1081743498,-12.0492871435
"175",-10.6000082574,-10.4199050659
"176",-10.4227510381,-10.4002939407
"177",-7.92907755233,-8.22999666976
"178",-6.6541328496,-7.48018982357
"179",-9.2765192963,-10.3704049888
"180",-7.18904430986,-7.48172737391
"181",-8.09179889675,-8.3073761662
"182",-9.31571319961,-8.42238596123
"183",-7.83802848182,-7.96203271297
"184",-8.45764594155,-10.1608842873
"185",-7.87234631933,-8.03308875549
"186",-8.63974580786,-8.95302205681
"187",-6.74502329426,-6.95833764056
"188",-9.44986725476,-10.5728371233
"189",-9.58627576476,-11.556439994
"190",-11.2845394334,-14.1063530232
"191",-6.53754107518,-9.01570823153
"192",-5.27738422197,-7.73076412627
"193",-6.2007907824,-8.11060489973
"194",-6.60159036385,-6.43145596169
